Ensayo,Piso,Tabique,Punto,Posición,Designacion,1,2,3,4,5,6,7,8,9,Media,Lecturas Válidas,Media lect válidas,Coef. Corr. Ángulo,Coef. Corr. Calibracion,Índice escler.
191,2SS,5,9,Arriba,2SS-5-9,42,43,42,40,40,42,42,42,40,41.44444444,9,41.44444444,0,0,41.44444444
192,2SS,5,10,Arriba,2SS-5-10,46,45,50,50,49,50,47,48,48,48.11111111,9,48.11111111,0,0,48.11111111
193,2SS,7,1,Abajo,2SS-7-1,46,46,42,43,42,42,40,45,52,44.22222222,8,43.25,0,0,43.25
194,2SS,7,2,Abajo,2SS-7-2,49,52,50,49,48,50,50,50,50,49.77777778,9,49.77777778,0,0,49.77777778
195,2SS,7,3,Abajo,2SS-7-3,50,52,53,52,50,52,45,50,48,50.22222222,8,50.875,0,0,50.875
196,2SS,7,4,Abajo,2SS-7-4,50,48,50,48,46,45,50,50,50,48.55555556,9,48.55555556,0,0,48.55555556
197,2SS,7,5,Abajo,2SS-7-5,48,50,48,47,50,48,50,50,52,49.22222222,9,49.22222222,0,0,49.22222222
198,2SS,7,6,Arriba,2SS-7-6,48,43,45,47,46,48,50,45,47,46.55555556,9,46.55555556,0,0,46.55555556
199,2SS,7,7,Arriba,2SS-7-7,50,51,47,48,50,46,48,48,48,48.44444444,9,48.44444444,0,0,48.44444444
200,2SS,7,8,Arriba,2SS-7-8,46,50,50,46,50,44,48,50,52,48.44444444,9,48.44444444,0,0,48.44444444
201,2SS,7,9,Arriba,2SS-7-9,52,52,50,50,50,52,50,45,50,50.11111111,8,50.75,0,0,50.75
202,2SS,7,10,Arriba,2SS-7-10,49,49,52,50,52,49,53,50,49,50.33333333,9,50.33333333,0,0,50.33333333
203,2SS,8,1,Abajo,2SS-8-1,50,48,52,50,50,48,48,46,47,48.77777778,9,48.77777778,0,0,48.77777778
204,2SS,8,2,Abajo,2SS-8-2,50,52,48,48,50,48,47,50,50,49.22222222,9,49.22222222,0,0,49.22222222
205,2SS,8,3,Abajo,2SS-8-3,48,50,50,48,49,49,50,48,49,49,9,49,0,0,49
206,2SS,8,4,Abajo,2SS-8-4,50,50,49,50,50,50,46,52,52,49.88888889,9,49.88888889,0,0,49.88888889
207,2SS,8,5,Abajo,2SS-8-5,50,50,54,54,50,49,49,48,50,50.44444444,9,50.44444444,0,0,50.44444444
208,2SS,8,6,Arriba,2SS-8-6,42,46,38,40,49,50,52,47,46,45.55555556,6,46.66666667,0,0,46.66666667
209,2SS,8,7,Arriba,2SS-8-7,49,45,45,44,48,46,46,49,49,46.77777778,9,46.77777778,0,0,46.77777778
210,2SS,8,8,Arriba,2SS-8-8,52,52,50,48,46,50,50,50,48,49.55555556,9,49.55555556,0,0,49.55555556
211,2SS,8,9,Arriba,2SS-8-9,50,50,54,48,48,48,47,46,48,48.77777778,8,48.125,0,0,48.125
212,2SS,8,10,Arriba,2SS-8-10,45,47,45,45,46,46,45,50,52,46.77777778,8,46.125,0,0,46.125
213,2SS,1,1,Abajo,2SS-1-1,50,50,48,50,50,48,50,47,48,49,9,49,0,0,49
214,2SS,1,2,Abajo,2SS-1-2,48,50,47,47,50,50,46,48,52,48.66666667,9,48.66666667,0,0,48.66666667
215,2SS,1,3,Abajo,2SS-1-3,50,56,52,50,53,53,52,54,50,52.22222222,9,52.22222222,0,0,52.22222222
216,2SS,1,4,Abajo,2SS-1-4,52,52,49,50,50,50,46,51,50,50,9,50,0,0,50
217,2SS,1,5,Arriba,2SS-1-5,50,48,48,50,46,48,48,48,47,48.11111111,9,48.11111111,0,0,48.11111111
218,2SS,1,6,Arriba,2SS-1-6,46,46,52,52,50,50,48,46,50,48.88888889,9,48.88888889,0,0,48.88888889
219,2SS,1,7,Arriba,2SS-1-7,48,47,50,50,50,48,46,50,50,48.77777778,9,48.77777778,0,0,48.77777778
